date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-01-02,0.08718,-0.068945,0.192462,0.107185,0.21549,0.08408,0.10975,0.00724,0.061591,0.12738
2020-01-03,0.05423,-0.174233,-0.04619,0.050455,0.083755,-0.12488,-0.0283,-0.03842,0.078468,0.05634
2020-01-06,0.104286,0.106789,0.08544,0.284306,0.32718,0.044117,-0.055812,0.0888,-0.013117,0.00905
2020-01-07,0.17558,0.147238,0.04761,0.11242,0.108637,0.024046,0.07636,0.0,0.007282,0.12738
2020-01-08,0.154382,0.05741,-0.018875,0.28061,0.154291,0.012206,-0.03984,-0.04032,0.069954,0.16784
2020-01-09,0.16018,0.283456,0.082808,0.261529,0.095427,0.033717,0.025453,0.0,0.091543,0.0592
2020-01-10,0.028677,0.004144,0.073962,0.131615,0.24778,0.05553,-0.08572,-0.08412,0.245493,0.124897
2020-01-13,0.000619,0.089085,0.134543,0.19619,0.133858,0.059237,0.13194,0.047893,0.200916,0.00528
2020-01-14,0.03452,0.04291,0.213818,0.035565,0.2589,0.089663,0.0168,0.0296,0.137912,0.17563
2020-01-15,0.000418,0.09546,0.086007,0.060896,0.13796,-0.073385,0.069193,0.010115,0.018464,0.09257
2020-01-16,0.11389,0.177215,0.102854,0.143429,0.100145,0.114267,0.08808,0.1486,0.177704,0.122448
2020-01-17,0.03804,0.080105,0.112872,0.11718,0.120243,0.188867,0.18836,0.07486,0.071416,0.15105
2020-01-21,-0.02204,0.070093,0.109974,0.199306,0.090574,0.104686,0.010086,0.050307,0.017947,0.17614
2020-01-22,0.10965,0.084427,0.090173,0.01531,0.056444,-0.014111,-0.0592,0.0103,0.148316,0.106103
2020-01-23,0.175303,0.129586,0.061573,0.03247,0.02031,0.029595,0.09407,0.1884,0.034896,-0.0281
2020-01-24,0.11109,0.078664,0.181362,-0.02652,0.224645,0.049345,0.089688,0.03612,0.066004,0.198928
2020-01-27,-0.036333,0.036441,0.041912,-0.03428,0.270938,0.063357,-0.001473,0.05106,-0.17687,0.000232
2020-01-28,0.036708,0.038613,0.098633,0.129329,0.186412,0.004039,0.167525,0.07579,-0.008395,0.01564
2020-01-29,0.252701,0.009241,0.010497,0.152345,0.141442,0.010459,0.063124,0.09878,0.117121,0.132215
2020-01-30,-0.01065,0.044193,0.107697,0.020737,0.102243,0.108133,-0.026406,0.02408,-0.032987,0.171785
2020-01-31,-0.188667,0.020196,0.079834,0.093551,0.223558,0.083309,-0.003335,0.14476,0.177666,0.11302
2020-02-03,0.130922,0.148323,0.051482,0.07699,0.118252,0.094465,0.14187,0.034,0.054737,0.20161
2020-02-04,0.112579,0.140124,0.101741,0.27631,0.18218,0.157718,0.05411,0.051983,0.074608,0.11915
2020-02-05,-0.006538,0.014995,0.504523,-0.1472,0.165068,0.066919,0.06436,0.0,0.081818,0.031903
2020-02-06,0.06914,0.130603,0.187257,0.271399,0.22736,-0.005147,0.051321,0.24698,0.286872,0.15116
2020-02-07,0.032776,0.159785,0.222753,0.04199,0.272103,-0.0009,0.007373,0.0,0.187594,0.142058
2020-02-10,0.0914,-0.006943,0.050993,0.144277,0.01991,0.085783,0.232313,0.084527,0.158188,0.114865
2020-02-11,-0.026111,0.045486,0.095273,0.260487,-0.003798,-0.007123,0.117328,0.046473,0.036324,0.174156
2020-02-12,0.153652,0.058343,0.033767,0.053773,0.160881,0.07436,0.0592,0.126953,0.010694,0.277746
2020-02-13,0.091723,-0.013982,0.097292,0.08528,0.081533,0.035338,0.027483,0.110812,-0.036949,0.160426
2020-02-14,0.12498,-0.052778,0.0905,0.12204,0.25895,0.191945,-0.016395,0.09492,0.019725,0.126654
2020-02-18,0.040218,0.194397,0.146178,-0.005483,0.090152,0.00382,0.122424,0.10593,-0.04732,0.216409
2020-02-19,0.073682,0.157448,0.198157,0.03996,0.240667,0.178153,0.0148,0.0,-0.012978,0.104329
2020-02-20,0.038785,0.06387,0.171315,0.146484,0.066954,0.069017,0.046013,0.046494,0.041481,0.105786
2020-02-21,-0.039783,0.068388,0.072058,0.281672,0.063965,0.11363,0.0845,0.01979,-0.258961,0.156928
2020-02-24,0.028283,-0.002158,-0.146638,-0.001581,0.11284,0.070818,0.066211,0.048205,-0.009185,0.056411
2020-02-25,0.120507,0.163769,-0.033855,0.258161,0.19953,-0.00088,0.028663,0.027293,0.019905,0.163803
2020-02-26,0.125587,0.097673,0.222822,0.163629,0.044877,0.044663,0.04302,0.023013,0.212002,0.063747
2020-02-27,0.13194,0.096109,0.08371,0.07106,0.038548,0.114463,0.054144,0.103515,-0.090316,0.297366
2020-02-28,-0.09631,-0.081064,0.086071,-0.035373,-0.024808,0.082515,0.074262,-0.002708,0.17178,-0.03968
2020-03-02,0.097267,0.05836,0.041445,0.125247,0.194039,-0.00572,0.031938,0.095115,0.067866,0.229347
