date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-01-02,0.08718,-0.068945,0.192462,0.107185,0.21549,0.08408,0.10975,0.00724,0.061591,0.12738
2020-01-03,0.081931,-0.220854,-0.04619,0.050455,0.19668,-0.12488,0.017456,-0.03842,0.078468,0.05634
2020-01-06,0.128401,0.106789,0.08544,0.284306,0.32718,0.004176,-0.055812,0.059219,-0.013117,0.00905
2020-01-07,0.208818,0.147238,0.074992,0.112834,0.108637,-0.010725,0.07636,0.077305,-0.065714,0.182825
2020-01-08,0.154382,0.123885,-0.018875,0.291853,0.216129,0.022931,0.026635,0.026978,0.069954,0.216108
2020-01-09,0.16018,0.283456,0.081698,0.261529,0.190675,0.033717,0.083323,-0.006113,0.091543,0.0592
2020-01-10,0.028677,0.004144,0.073962,0.290903,0.24778,0.067271,-0.035341,-0.08412,0.262672,0.176433
2020-01-13,0.065205,0.089085,0.134543,0.19619,0.133858,0.059237,0.140575,0.037551,0.200916,0.050145
2020-01-14,0.104085,0.04291,0.213818,0.035565,0.304003,0.089663,0.16984,0.020597,0.227789,0.214687
2020-01-15,0.049365,0.09546,0.086007,0.060896,0.248209,-0.073385,0.194953,0.020302,0.018464,0.126571
2020-01-16,0.156501,0.177215,0.135889,0.143429,0.134327,0.135247,0.08808,0.157406,0.164134,0.152048
2020-01-17,0.075135,0.080105,0.112872,0.11718,0.201985,0.204198,0.18836,0.141335,0.071416,0.15105
2020-01-21,-0.02204,0.070093,0.109974,0.199306,0.090574,0.104686,0.010086,0.108177,0.017947,0.17614
2020-01-22,0.093588,0.084427,0.090173,0.069382,0.066373,-0.014111,-0.0592,0.060679,0.091852,0.106103
2020-01-23,0.175303,0.129586,0.061573,0.03247,0.02031,0.029595,0.09407,0.1884,0.034896,-0.0281
2020-01-24,0.11109,0.078664,0.181362,-0.02652,0.224645,0.049345,0.115456,0.074459,0.066004,0.198928
2020-01-27,0.014673,0.036441,0.041912,-0.051761,0.270938,0.063357,-0.001473,0.05106,-0.17687,0.059429
2020-01-28,0.036708,0.038613,0.14889,0.098779,0.186412,-0.00339,0.167525,0.07579,-0.008395,0.067174
2020-01-29,0.252701,0.009241,0.000796,0.152345,0.141442,0.003992,0.118456,0.164759,0.084092,0.177078
2020-01-30,-0.01065,0.044193,0.099252,0.153361,0.179443,0.104419,-0.026406,0.02408,0.003707,0.210841
2020-01-31,-0.188667,-0.027371,0.079834,0.091903,0.264967,0.083309,-0.003335,0.165723,0.177666,0.14702
2020-02-03,0.130922,0.148323,0.051482,0.075555,0.118252,0.094465,0.14187,0.108484,0.110687,0.231209
2020-02-04,0.112579,0.140124,0.101741,0.241323,0.191883,0.177419,0.05411,0.051983,0.074608,0.144917
2020-02-05,0.014115,0.054724,0.504523,-0.037197,0.165068,0.084069,0.06436,0.023096,0.102248,0.031903
2020-02-06,0.06914,0.165189,0.33424,0.271399,0.22736,0.104115,0.051321,0.267086,0.286872,0.130197
2020-02-07,0.089819,0.185553,0.222753,0.136908,0.272103,0.046395,0.032924,0.119514,0.187594,0.123809
2020-02-10,0.104284,-0.006943,0.050993,0.182027,0.105903,0.081883,0.232313,0.084527,0.158188,0.098978
2020-02-11,-0.006141,0.045486,0.095273,0.283961,0.0501,0.071157,0.117328,0.066931,0.066892,0.160325
2020-02-12,0.153652,0.058343,0.033767,0.139766,0.142632,0.07436,0.0592,0.144763,0.037305,0.265706
2020-02-13,0.091723,-0.013982,0.023905,0.08528,0.081533,0.035338,0.079019,0.110812,-0.023313,0.149945
2020-02-14,0.189286,-0.052778,0.026613,0.178858,0.25895,0.191945,0.02847,0.09492,0.031596,0.117529
2020-02-18,0.040218,0.194397,0.146178,-0.005483,0.090152,0.130468,0.122424,0.10593,-0.04732,0.208466
2020-02-19,0.039749,0.157448,0.221725,0.03011,0.240667,0.211529,0.029599,0.0,-0.012978,0.156411
